state, doctor_pre_100000
Massachusetts,449.5
Maryland,386
New York,375.1
Rhode Island,370
Vermont,367.1
Connecticut,352.1
Maine,330.2
Pennsylvania,320.5
New Hampshire,315.1
Hawaii,314.1
New Jersey,306.5
Oregon,303.4
Minnesota,302.7
Ohio,292.7
Michigan,287
Colorado,285.7
Delaware,284.6
Illinois,284.4
California,279.6
Washington,278.8
Alaska,276.9
Missouri,273.1
Florida,265.2
Wisconsin,264.9
West Virginia,263.4
Virginia,263.2
Louisiana,260.3
North Carolina,255
Tennessee,253.1
Montana,247.1
New Mexico,244.8
Arizona,242
South Dakota,240.4
Nebraska,239.2
North Dakota,237.6
Kentucky,230.9
Indiana,230.8
South Carolina,229.5
Georgia,228.7
Kansas,227.6
Texas,224.8
Iowa,218.2
Alabama,217.1
Utah,216.2
Nevada,213.5
Wyoming,207.9
Arkansas,207.6
Oklahoma,206.7
Idaho,192.6
Mississippi,191.3